Time_s,Distance_m,RSSI_dBm,Throughput_Mbps,Delay_ms,Jitter_ms,PacketDrop
0.2,1,-5.71343,0,0,0,0
0.4,3,-16.4487,0,0,0,0
0.6,5,-21.4341,1080.57,0.724654,0.00403597,0
0.8,7,-24.722,2503.28,0.729428,0.0033272,0
1,9,-27.1777,2499.22,0.725349,0.00333239,0
1.2,11,-29.1386,2499.99,0.733195,0.00333496,0
1.4,13,-30.771,2500.4,0.712656,0.00333127,0
1.6,15,-32.1693,2500.52,0.721483,0.00333152,0
1.8,17,-33.3924,2500.28,0.724228,0.00332938,0
2,19,-34.4792,2498.34,0.720057,0.00333808,0
2.2,21,-35.4572,2500.99,0.714401,0.0033257,0
2.4,23,-36.3462,2500.69,0.719934,0.0033359,0
2.6,25,-37.1609,2498.46,0.718211,0.00332998,0
2.8,27,-37.913,2502.4,0.72411,0.00333159,0
3,29,-38.6112,2498.57,0.715851,0.00333321,0
3.2,31,-39.2629,2503.7,0.723514,0.00333,0
3.4,33,-39.8739,2499.4,0.71825,0.00333378,0
3.6,35,-40.4488,2499.28,0.723175,0.00333388,0
3.8,37,-40.9918,2497.69,0.733437,0.00333748,0
4,39,-41.5062,2501.58,0.721732,0.00332593,0
4.2,41,-41.9949,2501.22,0.731427,0.00333472,0
4.4,43,-42.4603,2499.75,0.721548,0.00333301,0
4.6,45,-42.9046,2501.99,0.726553,0.00332898,0
4.8,47,-43.3295,2497.87,0.719595,0.00333237,0
5,49,-43.7367,2501.05,0.729139,0.00333315,0
5.2,51,-44.1276,2500.69,0.723373,0.00333269,0
5.4,53,-44.5035,2497.28,0.724865,0.00333265,0
5.6,55,-44.8655,2503.58,0.72971,0.00333334,0
5.8,57,-45.2206,2495.75,0.721016,0.00333154,0
6,59,-45.5515,2504.81,0.730202,0.00333222,0
6.2,61,-45.8772,2499.93,0.726399,0.0033339,0
6.4,63,-46.1925,2498.4,0.726779,0.00333591,0
6.6,65,-46.4978,2501.28,0.720824,0.00332742,0
6.8,67,-46.794,2497.98,0.724722,0.0033392,0
7,69,-47.0814,2502.34,0.725915,0.00332644,0
7.2,71,-47.3606,2500.22,0.733522,0.00332969,0
