Time_s,Distance_m,RSSI_dBm,Throughput_Mbps,Delay_ms,Jitter_ms,PacketDrop
0.2,1,-5.71343,0,0,0,0
0.4,3,-16.4487,0,0,0,0
0.6,5,-21.4341,1626.32,11.4153,0.00277829,3702
0.8,7,-24.722,3886.85,16.0871,0.0022299,18956
1,9,-27.1777,3877.72,16.1109,0.00229223,19001
1.2,11,-29.1386,3880.55,16.0736,0.00222186,18941
1.4,13,-30.771,3887.43,16.1074,0.00225262,18973
1.6,15,-32.1693,3890.14,16.0824,0.00227242,18943
1.8,17,-33.3924,3887.26,16.0701,0.00222969,18908
2,19,-34.4792,3879.84,16.129,0.00254714,18957
2.2,21,-35.4572,3886.14,16.1604,0.00251744,18969
2.4,23,-36.3462,3878.48,16.3139,0.00377783,18939
2.6,25,-37.1609,3889.79,16.2254,0.00259138,18981
2.8,27,-37.913,3884.61,16.2171,0.00256321,18948
3,29,-38.6112,3885.43,16.1818,0.00247536,18940
3.2,31,-39.2629,3880.25,16.2179,0.0025229,18994
3.4,33,-39.8739,3884.14,16.2019,0.00252769,18995
3.6,35,-40.4488,3882.43,16.2926,0.00288779,19004
3.8,37,-40.9918,3883.14,16.4107,0.00393456,18922
4,39,-41.5062,3868.95,16.3481,0.00292077,19036
4.2,41,-41.9949,3897.68,16.4498,0.00359882,18919
4.4,43,-42.4603,3867.3,16.3914,0.00290942,18922
4.6,45,-42.9046,3903.92,16.4547,0.00296091,18979
4.8,47,-43.3295,3880.84,16.4071,0.00292786,18951
5,49,-43.7367,3880.31,16.4664,0.00301546,18987
5.2,51,-44.1276,3876.19,16.4076,0.00285776,19010
5.4,53,-44.5035,3878.54,16.4311,0.00292381,18937
5.6,55,-44.8655,3887.73,16.3969,0.00290409,18939
5.8,57,-45.2145,3875.07,16.4515,0.00309016,19015
6,59,-45.5515,3892.09,16.4945,0.00338529,19032
6.2,61,-45.8772,3890.61,16.5695,0.00301751,18918
6.4,63,-46.1925,3886.85,16.6235,0.0031766,18856
6.6,65,-46.4978,3869.3,16.7031,0.00369547,18930
6.8,67,-46.794,3481.1,20.5951,0.0050006,18991
7,69,-47.0814,3498.77,45.7231,0.00405804,22994
