
=======================================================
[INFO] TANGGAL & WAKTU EKSEKUSI SIMULASI : 2026-06-09 13:59:12
=======================================================

=======================================================
[INFO] Skenario Range / Pathloss Degradation (Wi-Fi 7)
=======================================================
[INFO] Waktu: 0.2s | Jarak: 1 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 0.4s | Jarak: 3 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 0.6s | Jarak: 5 m | Throughput: 1124.25 Mbps | Drop: 0
[INFO] Waktu: 0.8s | Jarak: 7 m | Throughput: 2757.59 Mbps | Drop: 0
[INFO] Waktu: 1s | Jarak: 9 m | Throughput: 2757.82 Mbps | Drop: 0
[INFO] Waktu: 1.2s | Jarak: 11 m | Throughput: 2762.77 Mbps | Drop: 0
[INFO] Waktu: 1.4s | Jarak: 13 m | Throughput: 2765.77 Mbps | Drop: 0
[INFO] Waktu: 1.6s | Jarak: 15 m | Throughput: 2694.35 Mbps | Drop: 0
[INFO] Waktu: 1.8s | Jarak: 17 m | Throughput: 2690.58 Mbps | Drop: 0
[INFO] Waktu: 2s | Jarak: 19 m | Throughput: 2699.65 Mbps | Drop: 0
[INFO] Waktu: 2.2s | Jarak: 21 m | Throughput: 2683.99 Mbps | Drop: 0
[INFO] Waktu: 2.4s | Jarak: 23 m | Throughput: 2698 Mbps | Drop: 0
[INFO] Waktu: 2.6s | Jarak: 25 m | Throughput: 2685.34 Mbps | Drop: 0
[INFO] Waktu: 2.8s | Jarak: 27 m | Throughput: 2693.88 Mbps | Drop: 0
[INFO] Waktu: 3s | Jarak: 29 m | Throughput: 2687.75 Mbps | Drop: 0
[INFO] Waktu: 3.2s | Jarak: 31 m | Throughput: 2633.35 Mbps | Drop: 0
[INFO] Waktu: 3.4s | Jarak: 33 m | Throughput: 2623.81 Mbps | Drop: 0
[INFO] Waktu: 3.6s | Jarak: 35 m | Throughput: 2628.76 Mbps | Drop: 0
[INFO] Waktu: 3.8s | Jarak: 37 m | Throughput: 2640.12 Mbps | Drop: 0
[INFO] Waktu: 4s | Jarak: 39 m | Throughput: 2632.29 Mbps | Drop: 0
[INFO] Waktu: 4.2s | Jarak: 41 m | Throughput: 2632.05 Mbps | Drop: 0
[INFO] Waktu: 4.4s | Jarak: 43 m | Throughput: 2625.99 Mbps | Drop: 0
[INFO] Waktu: 4.6s | Jarak: 45 m | Throughput: 2635.47 Mbps | Drop: 0
[INFO] Waktu: 4.8s | Jarak: 47 m | Throughput: 2632.82 Mbps | Drop: 0
[INFO] Waktu: 5s | Jarak: 49 m | Throughput: 2620.63 Mbps | Drop: 0
[INFO] Waktu: 5.2s | Jarak: 51 m | Throughput: 2628.58 Mbps | Drop: 0
[INFO] Waktu: 5.4s | Jarak: 53 m | Throughput: 2633.47 Mbps | Drop: 0
[INFO] Waktu: 5.6s | Jarak: 55 m | Throughput: 2627.4 Mbps | Drop: 0
[INFO] Waktu: 5.8s | Jarak: 57 m | Throughput: 2565.75 Mbps | Drop: 0
[INFO] Waktu: 6s | Jarak: 59 m | Throughput: 2579.83 Mbps | Drop: 0
[INFO] Waktu: 6.2s | Jarak: 61 m | Throughput: 2529.19 Mbps | Drop: 0
[INFO] Waktu: 6.4s | Jarak: 63 m | Throughput: 2523.48 Mbps | Drop: 0
[INFO] Waktu: 6.6s | Jarak: 65 m | Throughput: 2532.78 Mbps | Drop: 0
[INFO] Waktu: 6.8s | Jarak: 67 m | Throughput: 2516.47 Mbps | Drop: 0
[INFO] Waktu: 7s | Jarak: 69 m | Throughput: 2460.95 Mbps | Drop: 0
[INFO] Waktu: 7.2s | Jarak: 71 m | Throughput: 2490.27 Mbps | Drop: 0
[INFO] Waktu: 7.4s | Jarak: 73 m | Throughput: 2474.02 Mbps | Drop: 0
[INFO] Waktu: 7.6s | Jarak: 75 m | Throughput: 2479.32 Mbps | Drop: 0
[INFO] Waktu: 7.8s | Jarak: 77 m | Throughput: 2451.59 Mbps | Drop: 0
[INFO] Waktu: 8s | Jarak: 79 m | Throughput: 2481.97 Mbps | Drop: 0
[INFO] Waktu: 8.2s | Jarak: 81 m | Throughput: 2459.59 Mbps | Drop: 0
[INFO] Waktu: 8.4s | Jarak: 83 m | Throughput: 2473.96 Mbps | Drop: 0
[INFO] Waktu: 8.6s | Jarak: 85 m | Throughput: 2463.6 Mbps | Drop: 0
[INFO] Waktu: 8.8s | Jarak: 87 m | Throughput: 2487.09 Mbps | Drop: 0
[INFO] Waktu: 9s | Jarak: 89 m | Throughput: 2462.24 Mbps | Drop: 0
[INFO] Waktu: 9.2s | Jarak: 91 m | Throughput: 2470.37 Mbps | Drop: 0
[INFO] Waktu: 9.4s | Jarak: 93 m | Throughput: 2431.16 Mbps | Drop: 0
[INFO] Waktu: 9.6s | Jarak: 95 m | Throughput: 2374.87 Mbps | Drop: 0
[INFO] Waktu: 9.8s | Jarak: 97 m | Throughput: 2383.7 Mbps | Drop: 0
[INFO] Waktu: 10s | Jarak: 99 m | Throughput: 2336.77 Mbps | Drop: 0
[INFO] Waktu: 10.2s | Jarak: 101 m | Throughput: 2234.32 Mbps | Drop: 0
[INFO] Waktu: 10.4s | Jarak: 103 m | Throughput: 2239.15 Mbps | Drop: 0
[INFO] Waktu: 10.6s | Jarak: 105 m | Throughput: 2223.07 Mbps | Drop: 0
[INFO] Waktu: 10.8s | Jarak: 107 m | Throughput: 2240.38 Mbps | Drop: 0
[INFO] Waktu: 11s | Jarak: 109 m | Throughput: 2232.67 Mbps | Drop: 0
[INFO] Waktu: 11.2s | Jarak: 111 m | Throughput: 2233.91 Mbps | Drop: 0
[INFO] Waktu: 11.4s | Jarak: 113 m | Throughput: 2192.63 Mbps | Drop: 0
[INFO] Waktu: 11.6s | Jarak: 115 m | Throughput: 2201.99 Mbps | Drop: 0
[INFO] Waktu: 11.8s | Jarak: 117 m | Throughput: 2047.49 Mbps | Drop: 0
[INFO] Waktu: 12s | Jarak: 119 m | Throughput: 2035.3 Mbps | Drop: 0
[INFO] Waktu: 12.2s | Jarak: 121 m | Throughput: 2032.66 Mbps | Drop: 0
[INFO] Waktu: 12.4s | Jarak: 123 m | Throughput: 2040.02 Mbps | Drop: 0
[INFO] Waktu: 12.6s | Jarak: 125 m | Throughput: 2029.89 Mbps | Drop: 0
[INFO] Waktu: 12.8s | Jarak: 127 m | Throughput: 160.742 Mbps | Drop: 0
[INFO] Waktu: 13s | Jarak: 129 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 13.2s | Jarak: 131 m | Throughput: 435.889 Mbps | Drop: 0
[INFO] Waktu: 13.4s | Jarak: 133 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 13.6s | Jarak: 135 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 13.8s | Jarak: 137 m | Throughput: 627.72 Mbps | Drop: 0
[INFO] Waktu: 14s | Jarak: 139 m | Throughput: 1009.97 Mbps | Drop: 0
[INFO] Waktu: 14.2s | Jarak: 141 m | Throughput: 823.496 Mbps | Drop: 0
[INFO] Waktu: 14.4s | Jarak: 143 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 14.6s | Jarak: 145 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 14.8s | Jarak: 147 m | Throughput: 747.54 Mbps | Drop: 0
[INFO] Waktu: 15s | Jarak: 149 m | Throughput: 714.685 Mbps | Drop: 0
[INFO] Waktu: 15.2s | Jarak: 151 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 15.4s | Jarak: 153 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 15.6s | Jarak: 155 m | Throughput: 859.059 Mbps | Drop: 0
[INFO] Waktu: 15.8s | Jarak: 157 m | Throughput: 326.431 Mbps | Drop: 0
[INFO] Waktu: 16s | Jarak: 159 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 16.2s | Jarak: 161 m | Throughput: 257.894 Mbps | Drop: 0
[INFO] Waktu: 16.4s | Jarak: 163 m | Throughput: 351.101 Mbps | Drop: 0
[INFO] Waktu: 16.6s | Jarak: 165 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 16.8s | Jarak: 167 m | Throughput: 141.901 Mbps | Drop: 0
[INFO] Waktu: 17s | Jarak: 169 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 17.2s | Jarak: 171 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 17.4s | Jarak: 173 m | Throughput: 154.266 Mbps | Drop: 0
[INFO] Waktu: 17.6s | Jarak: 175 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 17.8s | Jarak: 177 m | Throughput: 67.712 Mbps | Drop: 0
[INFO] Waktu: 18s | Jarak: 179 m | Throughput: 781.514 Mbps | Drop: 0
[INFO] Waktu: 18.2s | Jarak: 181 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 18.4s | Jarak: 183 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 18.6s | Jarak: 185 m | Throughput: 141.842 Mbps | Drop: 0
[INFO] Waktu: 18.8s | Jarak: 187 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 19s | Jarak: 189 m | Throughput: 262.84 Mbps | Drop: 0
[INFO] Waktu: 19.2s | Jarak: 191 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 19.4s | Jarak: 193 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 19.6s | Jarak: 195 m | Throughput: 104.806 Mbps | Drop: 0
[INFO] Waktu: 19.8s | Jarak: 197 m | Throughput: 0 Mbps | Drop: 0
[INFO] Waktu: 20s | Jarak: 199 m | Throughput: 62.5306 Mbps | Drop: 0
[INFO] Waktu: 20.2s | Jarak: 201 m | Throughput: 2279.24 Mbps | Drop: 0
[INFO] Waktu: 20.4s | Jarak: 203 m | Throughput: 2268.59 Mbps | Drop: 0
[INFO] Waktu: 20.6s | Jarak: 205 m | Throughput: 2272.53 Mbps | Drop: 0
[INFO] Waktu: 20.8s | Jarak: 207 m | Throughput: 2280.78 Mbps | Drop: 0
[INFO] Waktu: 21s | Jarak: 209 m | Throughput: 2272.24 Mbps | Drop: 0
[INFO] Waktu: 21.2s | Jarak: 211 m | Throughput: 2281.01 Mbps | Drop: 0
[INFO] Waktu: 21.4s | Jarak: 213 m | Throughput: 2218.19 Mbps | Drop: 0
[INFO] Waktu: 21.6s | Jarak: 215 m | Throughput: 2233.14 Mbps | Drop: 0
[INFO] Waktu: 21.8s | Jarak: 217 m | Throughput: 2247.8 Mbps | Drop: 0
[INFO] Waktu: 22s | Jarak: 219 m | Throughput: 2225.66 Mbps | Drop: 0
[INFO] Waktu: 22.2s | Jarak: 221 m | Throughput: 2222.9 Mbps | Drop: 0
[INFO] Waktu: 22.4s | Jarak: 223 m | Throughput: 2226.08 Mbps | Drop: 0
[INFO] Waktu: 22.6s | Jarak: 225 m | Throughput: 2223.01 Mbps | Drop: 0
[INFO] Waktu: 22.8s | Jarak: 227 m | Throughput: 2233.02 Mbps | Drop: 0
[INFO] Waktu: 23s | Jarak: 229 m | Throughput: 2226.96 Mbps | Drop: 0
[INFO] Waktu: 23.2s | Jarak: 231 m | Throughput: 2229.61 Mbps | Drop: 0
[INFO] Waktu: 23.4s | Jarak: 233 m | Throughput: 2236.56 Mbps | Drop: 0
[INFO] Waktu: 23.6s | Jarak: 235 m | Throughput: 2234.79 Mbps | Drop: 0
[INFO] Waktu: 23.8s | Jarak: 237 m | Throughput: 2231.02 Mbps | Drop: 0
[INFO] Waktu: 24s | Jarak: 239 m | Throughput: 2225.25 Mbps | Drop: 0
[INFO] Waktu: 24.2s | Jarak: 241 m | Throughput: 2229.26 Mbps | Drop: 0
[INFO] Waktu: 24.4s | Jarak: 243 m | Throughput: 2239.27 Mbps | Drop: 0
[INFO] Waktu: 24.6s | Jarak: 245 m | Throughput: 2234.26 Mbps | Drop: 0
[INFO] Waktu: 24.8s | Jarak: 247 m | Throughput: 2193.57 Mbps | Drop: 0
[INFO] Waktu: 25s | Jarak: 249 m | Throughput: 2193.28 Mbps | Drop: 0
[INFO] Waktu: 25.2s | Jarak: 251 m | Throughput: 2190.39 Mbps | Drop: 0
[INFO] Waktu: 25.4s | Jarak: 253 m | Throughput: 2189.22 Mbps | Drop: 0
[INFO] Waktu: 25.6s | Jarak: 255 m | Throughput: 2186.69 Mbps | Drop: 0
[INFO] Waktu: 25.8s | Jarak: 257 m | Throughput: 2185.8 Mbps | Drop: 0
[INFO] Waktu: 26s | Jarak: 259 m | Throughput: 2194.05 Mbps | Drop: 0
[INFO] Waktu: 26.2s | Jarak: 261 m | Throughput: 2187.45 Mbps | Drop: 0
[INFO] Waktu: 26.4s | Jarak: 263 m | Throughput: 2039.78 Mbps | Drop: 0
[INFO] Waktu: 26.6s | Jarak: 265 m | Throughput: 2025.77 Mbps | Drop: 0
[INFO] Waktu: 26.8s | Jarak: 267 m | Throughput: 2041.9 Mbps | Drop: 0
[INFO] Waktu: 27s | Jarak: 269 m | Throughput: 2027.47 Mbps | Drop: 0
[INFO] Waktu: 27.2s | Jarak: 271 m | Throughput: 2031.18 Mbps | Drop: 0
[INFO] Waktu: 27.4s | Jarak: 273 m | Throughput: 2045.08 Mbps | Drop: 0
[INFO] Waktu: 27.6s | Jarak: 275 m | Throughput: 2017.82 Mbps | Drop: 0
[INFO] Waktu: 27.8s | Jarak: 277 m | Throughput: 2037.72 Mbps | Drop: 0
[INFO] Waktu: 28s | Jarak: 279 m | Throughput: 2030.54 Mbps | Drop: 0
[INFO] Waktu: 28.2s | Jarak: 281 m | Throughput: 2031.3 Mbps | Drop: 0
[INFO] Waktu: 28.4s | Jarak: 283 m | Throughput: 2034.3 Mbps | Drop: 0
[INFO] Waktu: 28.6s | Jarak: 285 m | Throughput: 2042.37 Mbps | Drop: 0
[INFO] Waktu: 28.8s | Jarak: 287 m | Throughput: 2034.95 Mbps | Drop: 0
[INFO] Waktu: 29s | Jarak: 289 m | Throughput: 2034.25 Mbps | Drop: 0
[INFO] Waktu: 29.2s | Jarak: 291 m | Throughput: 2041.08 Mbps | Drop: 0
[INFO] Waktu: 29.4s | Jarak: 293 m | Throughput: 2032.01 Mbps | Drop: 0
[INFO] Waktu: 29.6s | Jarak: 295 m | Throughput: 2035.95 Mbps | Drop: 0
[INFO] Waktu: 29.8s | Jarak: 297 m | Throughput: 2033.19 Mbps | Drop: 0
[INFO] Waktu: 30s | Jarak: 299 m | Throughput: 2024.47 Mbps | Drop: 0
