Time_s,Distance_m,Throughput_Mbps,PacketDrop
0.2,1,0,0
0.4,3,0,0
0.6,5,1124.25,0
0.8,7,2757.59,0
1,9,2757.82,0
1.2,11,2762.77,0
1.4,13,2765.77,0
1.6,15,2694.35,0
1.8,17,2690.58,0
2,19,2699.65,0
2.2,21,2683.99,0
2.4,23,2698,0
2.6,25,2685.34,0
2.8,27,2693.88,0
3,29,2687.75,0
3.2,31,2633.35,0
3.4,33,2623.81,0
3.6,35,2628.76,0
3.8,37,2640.12,0
4,39,2632.29,0
4.2,41,2632.05,0
4.4,43,2625.99,0
4.6,45,2635.47,0
4.8,47,2632.82,0
5,49,2620.63,0
5.2,51,2628.58,0
5.4,53,2633.47,0
5.6,55,2627.4,0
5.8,57,2565.75,0
6,59,2579.83,0
6.2,61,2529.19,0
6.4,63,2523.48,0
6.6,65,2532.78,0
6.8,67,2516.47,0
7,69,2460.95,0
7.2,71,2490.27,0
7.4,73,2474.02,0
7.6,75,2479.32,0
7.8,77,2451.59,0
8,79,2481.97,0
8.2,81,2459.59,0
8.4,83,2473.96,0
8.6,85,2463.6,0
8.8,87,2487.09,0
9,89,2462.24,0
9.2,91,2470.37,0
9.4,93,2431.16,0
9.6,95,2374.87,0
9.8,97,2383.7,0
10,99,2336.77,0
10.2,101,2234.32,0
10.4,103,2239.15,0
10.6,105,2223.07,0
10.8,107,2240.38,0
11,109,2232.67,0
11.2,111,2233.91,0
11.4,113,2192.63,0
11.6,115,2201.99,0
11.8,117,2047.49,0
12,119,2035.3,0
12.2,121,2032.66,0
12.4,123,2040.02,0
12.6,125,2029.89,0
12.8,127,160.742,0
13,129,0,0
13.2,131,435.889,0
13.4,133,0,0
13.6,135,0,0
13.8,137,627.72,0
14,139,1009.97,0
14.2,141,823.496,0
14.4,143,0,0
14.6,145,0,0
14.8,147,747.54,0
15,149,714.685,0
15.2,151,0,0
15.4,153,0,0
15.6,155,859.059,0
15.8,157,326.431,0
16,159,0,0
16.2,161,257.894,0
16.4,163,351.101,0
16.6,165,0,0
16.8,167,141.901,0
17,169,0,0
17.2,171,0,0
17.4,173,154.266,0
17.6,175,0,0
17.8,177,67.712,0
18,179,781.514,0
18.2,181,0,0
18.4,183,0,0
18.6,185,141.842,0
18.8,187,0,0
19,189,262.84,0
19.2,191,0,0
19.4,193,0,0
19.6,195,104.806,0
19.8,197,0,0
20,199,62.5306,0
20.2,201,2279.24,0
20.4,203,2268.59,0
20.6,205,2272.53,0
20.8,207,2280.78,0
21,209,2272.24,0
21.2,211,2281.01,0
21.4,213,2218.19,0
21.6,215,2233.14,0
21.8,217,2247.8,0
22,219,2225.66,0
22.2,221,2222.9,0
22.4,223,2226.08,0
22.6,225,2223.01,0
22.8,227,2233.02,0
23,229,2226.96,0
23.2,231,2229.61,0
23.4,233,2236.56,0
23.6,235,2234.79,0
23.8,237,2231.02,0
24,239,2225.25,0
24.2,241,2229.26,0
24.4,243,2239.27,0
24.6,245,2234.26,0
24.8,247,2193.57,0
25,249,2193.28,0
25.2,251,2190.39,0
25.4,253,2189.22,0
25.6,255,2186.69,0
25.8,257,2185.8,0
26,259,2194.05,0
26.2,261,2187.45,0
26.4,263,2039.78,0
26.6,265,2025.77,0
26.8,267,2041.9,0
27,269,2027.47,0
27.2,271,2031.18,0
27.4,273,2045.08,0
27.6,275,2017.82,0
27.8,277,2037.72,0
28,279,2030.54,0
28.2,281,2031.3,0
28.4,283,2034.3,0
28.6,285,2042.37,0
28.8,287,2034.95,0
29,289,2034.25,0
29.2,291,2041.08,0
29.4,293,2032.01,0
29.6,295,2035.95,0
29.8,297,2033.19,0
30,299,2024.47,0
30.2,301,2042.55,0
