Time_s,Distance_m,RSSI_dBm,Throughput_Mbps,Delay_ms,Jitter_ms,PacketDrop
0.2,1,-5.71343,0,0,0,0
0.4,3,-16.4487,0,0,0,0
0.6,5,-21.4341,1124.25,23.2975,0.0048784,0
0.8,7,-24.722,2757.59,69.5927,0.00498988,0
1,9,-27.1777,2757.82,77.0024,0.00574707,0
1.2,11,-29.1386,2762.77,77.0283,0.00568616,0
1.4,13,-30.771,2765.77,76.9089,0.00567109,0
1.6,15,-32.1693,2694.35,77.923,0.00574211,0
1.8,17,-33.3924,2690.58,78.0994,0.0057176,0
2,19,-34.4792,2699.65,78.0245,0.00572862,0
2.2,21,-35.4572,2683.99,78.1799,0.00573206,0
2.4,23,-36.3462,2698,77.9888,0.00568731,0
2.6,25,-37.1609,2685.34,78.2719,0.00575224,0
2.8,27,-37.913,2693.88,78.0955,0.00577838,0
3,29,-38.6112,2687.75,78.1363,0.00562227,0
3.2,31,-39.2629,2633.35,78.9735,0.00569259,0
3.4,33,-39.8739,2623.81,79.357,0.00571739,0
3.6,35,-40.4488,2628.76,79.1808,0.00568304,0
3.8,37,-40.9918,2640.12,79.0173,0.00567597,0
4,39,-41.5062,2632.29,79.119,0.00566232,0
4.2,41,-41.9949,2632.05,79.1719,0.00556845,0
4.4,43,-42.4603,2625.99,79.1618,0.00568267,0
4.6,45,-42.9046,2635.47,79.1051,0.00563521,0
4.8,47,-43.3295,2632.82,79.0928,0.00565465,0
5,49,-43.7367,2620.63,79.3675,0.00580829,0
5.2,51,-44.1276,2628.58,79.1315,0.00555663,0
5.4,53,-44.5035,2633.47,79.1012,0.00553729,0
5.6,55,-44.8655,2627.4,79.2503,0.00568129,0
5.8,57,-45.2145,2565.75,80.2104,0.00572192,0
6,59,-45.5515,2579.83,80.2374,0.00580074,0
6.2,61,-45.8772,2529.19,80.8928,0.00578185,0
6.4,63,-46.1925,2523.48,81.1495,0.0059401,0
6.6,65,-46.4978,2532.78,80.951,0.00567114,0
6.8,67,-46.794,2516.47,81.3345,0.00590114,0
7,69,-47.0814,2460.95,82.3299,0.00560086,0
7.2,71,-47.3606,2490.27,81.8324,0.00545376,0
7.4,73,-47.6321,2474.02,82.0982,0.0055273,0
