STA_ID,MAC_Address,Direction,Area,Profil,QoS_AC,Throughput_Mbps,Delay_ms,Jitter_ms,MacDrop,HandoverCount
0,00:00:00:00:00:01,DL,Kelas A,Social Media,AC_BE,5.6705,12.898,0.0857949,309,0
0,00:00:00:00:00:01,UL,Kelas A,Social Media,AC_BE,0.569417,5.64368,0.937041,28,0
1,00:00:00:00:00:04,DL,Kelas A,Video 4K Streaming,AC_VI,20.1424,0.752699,0.0870692,113,0
1,00:00:00:00:00:04,UL,Kelas A,Video 4K Streaming,AC_VI,0.524601,1.204,0.689731,1,0
2,00:00:00:00:00:07,DL,Kelas A,Gaming,AC_VO,10.2168,0.427271,0.110942,72,0
2,00:00:00:00:00:07,UL,Kelas A,Gaming,AC_VO,2.10932,0.708945,0.543549,4,0
3,00:00:00:00:00:0a,DL,Kelas A,File Download,AC_BK,30.01,15.6698,0.116059,92,0
3,00:00:00:00:00:0a,UL,Kelas A,File Download,AC_BK,1.0135,33.9478,5.56071,5,0
4,00:00:00:00:00:0d,DL,Kelas A,Web Browsing,AC_BE,5.27068,2.48245,0.292033,27,0
4,00:00:00:00:00:0d,UL,Kelas A,Web Browsing,AC_BE,0.529573,5.27326,2.5244,1,0
5,00:00:00:00:00:10,DL,Kelas A,Live Streaming,AC_VI,2.1356,0.332811,0.230763,0,0
5,00:00:00:00:00:10,UL,Kelas A,Live Streaming,AC_VI,5.08328,1.11279,0.319299,39,0
6,00:00:00:00:00:13,DL,Kelas A,Social Media,AC_BE,5.65383,4.04642,0.102408,309,0
6,00:00:00:00:00:13,UL,Kelas A,Social Media,AC_BE,0.570182,2.69012,0.775472,27,0
7,00:00:00:00:00:16,DL,Kelas A,Video 4K Streaming,AC_VI,21.2004,0.742586,0.0891089,26,0
7,00:00:00:00:00:16,UL,Kelas A,Video 4K Streaming,AC_VI,0.531391,0.632442,0.672458,0,0
8,00:00:00:00:00:19,DL,Kelas A,Gaming,AC_VO,10.2037,0.328538,0.0925629,74,0
8,00:00:00:00:00:19,UL,Kelas A,Gaming,AC_VO,2.04782,0.520408,0.411975,13,0
9,00:00:00:00:00:1c,DL,Kelas A,File Download,AC_BK,31.9545,6.70398,0.13763,19,0
9,00:00:00:00:00:1c,UL,Kelas A,File Download,AC_BK,1.0304,33.5385,4.57942,5,0
10,00:00:00:00:00:1f,DL,Kelas A,Web Browsing,AC_BE,11.2122,6.35057,0.155756,3,0
10,00:00:00:00:00:1f,UL,Kelas A,Web Browsing,AC_BE,0,0,0,118,0
11,00:00:00:00:00:22,DL,Kelas A,Live Streaming,AC_VI,23.3335,0.564733,0.0957366,10,0
11,00:00:00:00:00:22,UL,Kelas A,Live Streaming,AC_VI,0,0,0,785,0
12,00:00:00:00:00:28,DL,Kelas B,Social Media,AC_BE,11.2122,6.35057,0.155756,3,0
12,00:00:00:00:00:28,UL,Kelas B,Social Media,AC_BE,0,0,0,118,0
13,00:00:00:00:00:2b,DL,Kelas B,Video 4K Streaming,AC_VI,23.3335,0.564733,0.0957366,10,0
13,00:00:00:00:00:2b,UL,Kelas B,Video 4K Streaming,AC_VI,0,0,0,785,0
14,00:00:00:00:00:2e,DL,Kelas B,Gaming,AC_VO,10.1572,0.818065,0.138281,81,0
14,00:00:00:00:00:2e,UL,Kelas B,Gaming,AC_VO,0.599126,12.3235,0.88317,0,0
15,00:00:00:00:00:31,DL,Kelas B,File Download,AC_BK,30.9107,22.4825,0.282305,175,0
15,00:00:00:00:00:31,UL,Kelas B,File Download,AC_BK,0.534236,1.32244,1.20427,0,0
16,00:00:00:00:00:34,DL,Kelas B,Web Browsing,AC_BE,5.19979,2.77502,0.441772,42,0
16,00:00:00:00:00:34,UL,Kelas B,Web Browsing,AC_BE,2.14079,0.63312,0.407223,0,0
17,00:00:00:00:00:37,DL,Kelas B,Live Streaming,AC_VI,2.08269,0.379814,0.276728,8,0
17,00:00:00:00:00:37,UL,Kelas B,Live Streaming,AC_VI,1.05794,25.3281,6.11068,0,0
18,00:00:00:00:00:3a,DL,Kelas B,Social Media,AC_BE,5.75814,11.1581,0.153939,187,0
18,00:00:00:00:00:3a,UL,Kelas B,Social Media,AC_BE,0.535851,3.77913,2.98173,0,0
19,00:00:00:00:00:3d,DL,Kelas B,Video 4K Streaming,AC_VI,21.1463,2.1614,0.130695,33,0
19,00:00:00:00:00:3d,UL,Kelas B,Video 4K Streaming,AC_VI,5.36058,2.90902,0.413569,0,0
20,00:00:00:00:00:40,DL,Kelas B,Gaming,AC_VO,10.1536,1.19297,0.165211,81,0
20,00:00:00:00:00:40,UL,Kelas B,Gaming,AC_VO,0.566194,5.52323,0.593382,31,0
21,00:00:00:00:00:43,DL,Kelas B,File Download,AC_BK,29.5943,28.3259,0.123707,251,0
21,00:00:00:00:00:43,UL,Kelas B,File Download,AC_BK,0.506147,0.721017,0.669886,4,0
22,00:00:00:00:00:49,DL,Koridor,Web Browsing,AC_BE,5.11237,8.05144,0.342244,59,0
22,00:00:00:00:00:49,UL,Koridor,Web Browsing,AC_BE,2.02914,0.296839,0.210164,16,0
23,00:00:00:00:00:4c,DL,Koridor,Live Streaming,AC_VI,2.05,1.05125,0.614719,13,0
23,00:00:00:00:00:4c,UL,Koridor,Live Streaming,AC_VI,1.0015,58.7993,11.352,5,0
