Time_s,Distance_m,RSSI_dBm,Throughput_Mbps,Delay_ms,Jitter_ms,PacketDrop
0.2,1,-5.71343,0,0,0,0
0.4,3,-16.4487,0,0,0,0
0.6,5,-21.4341,295.931,39.4045,0.0171275,13109
0.8,7,-24.722,680.888,157.082,0.0182589,71883
1,9,-27.1777,681.183,215.972,0.0277171,73354
1.2,11,-29.1386,683.891,216.46,0.0280178,73334
1.4,13,-30.771,677.591,216.195,0.0280744,73410
1.6,15,-32.1693,680.064,217.555,0.028222,73379
1.8,17,-33.3924,682.89,216.453,0.0280993,73296
2,19,-34.4792,680.417,216.279,0.0280449,73376
2.2,21,-35.4572,681.83,216.258,0.0280484,73375
2.4,23,-36.3462,687.483,215.734,0.0278857,73233
2.6,25,-37.1609,682.537,215.135,0.027884,73350
2.8,27,-37.913,681.242,216.207,0.0280486,73334
3,29,-38.6112,685.069,216.072,0.0279779,73292
3.2,31,-39.2629,684.598,214.888,0.0278669,73292
3.4,33,-39.8739,685.481,215.138,0.0278736,73292
3.6,35,-40.4488,684.421,215.189,0.0278979,73292
3.8,37,-40.9918,682.007,215.067,0.0278639,73333
4,39,-41.5062,682.36,216.122,0.0271688,73376
4.2,41,-41.9949,680.064,216.264,0.0232736,73358
4.4,43,-42.4603,677.591,216.83,0.0281879,73416
4.6,45,-42.9046,677.591,216.944,0.0282357,73426
4.8,47,-43.3295,679.828,217.011,0.0281871,73387
5,49,-43.7367,678.298,216.482,0.0281956,73375
5.2,51,-44.1276,682.066,216.03,0.028095,73376
5.4,53,-44.5035,682.89,215.886,0.0279753,73292
5.6,55,-44.8655,681.654,215.287,0.0279957,73376
5.8,57,-45.2206,680.594,215.544,0.0279937,73333
6,59,-45.5515,685.775,215.419,0.0279532,73292
6.2,61,-45.8772,684.244,214.943,0.0278886,73307
6.4,63,-46.1925,680.241,215.738,0.0280172,73360
6.6,65,-46.4978,684.833,215.127,0.0279295,73334
6.8,67,-46.794,680.064,215.4,0.0280082,73340
7,69,-47.0814,681.359,215.777,0.0280903,73369
7.2,71,-47.3606,681.242,215.603,0.0280139,73376
7.4,73,-47.6321,680.064,215.736,0.0280849,73376
7.6,75,-48.0617,686.364,214.865,0.0279389,73249
