Time_s,Distance_m,RSSI_dBm,Throughput_Mbps,Delay_ms,Jitter_ms,PacketDrop
0.2,1,-5.71343,0,0,0,0
0.4,3,-16.4487,0,0,0,0
0.6,5,-21.4341,1237.25,20.568,0.00230525,3768
0.8,7,-24.722,2843.96,53.3416,0.0028235,34623
1,9,-27.1777,2833.31,56.1428,0.00320301,36797
1.2,11,-29.1386,2850.68,55.9415,0.00315684,36531
1.4,13,-30.771,2835.84,56.1089,0.00319461,36745
1.6,15,-32.1693,2863.33,55.8457,0.00313636,36316
1.8,17,-33.3924,2860.74,55.7696,0.00312297,36347
2,19,-34.4792,2840.19,56.1395,0.00318799,36702
2.2,21,-35.4572,2844.85,56.0034,0.00317623,36591
2.4,23,-36.3462,2850.68,55.9642,0.00315986,36498
2.6,25,-37.1609,2859.45,55.7939,0.00311663,36382
2.8,27,-37.913,2858.74,55.8213,0.00313773,36369
3,29,-38.6112,2853.38,55.8955,0.00314534,36519
3.2,31,-39.2629,2855.86,55.8222,0.00314706,36373
3.4,33,-39.8739,2848.85,55.9745,0.00315432,36551
3.6,35,-40.4488,2848.85,55.9343,0.00316841,36517
3.8,37,-40.9918,2852.68,55.8843,0.00314826,36499
4,39,-41.5062,2855.44,55.7666,0.00313421,36431
4.2,41,-41.9949,2847.14,56.033,0.00315489,36619
4.4,43,-42.4603,2858.27,55.8061,0.00314673,36302
4.6,45,-42.9046,2844.43,56.0036,0.00317165,36649
4.8,47,-43.3295,2843.96,55.9277,0.00316304,36596
5,49,-43.7367,2848.73,56.0029,0.00317732,36624
5.2,51,-44.1276,2846.08,55.9285,0.00315981,36542
5.4,53,-44.5035,2836.54,56.0887,0.00319456,36798
5.6,55,-44.8655,2839.84,56.053,0.0031967,36620
5.8,57,-45.2145,2857.86,55.8341,0.00312807,36396
6,59,-45.5515,2848.85,55.9806,0.00317527,36609
6.2,61,-45.8772,2847.67,55.9187,0.0031666,36541
6.4,63,-46.1925,2843.26,55.9742,0.00316731,36577
6.6,65,-46.4978,2846.67,55.9916,0.00317344,36574
6.8,67,-46.794,2849.09,55.9003,0.00316327,36558
7,69,-47.0814,2842.49,56.0402,0.00316747,36658
