
=======================================================
[INFO] TANGGAL & WAKTU EKSEKUSI SIMULASI : 2026-06-09 21:23:06
=======================================================

=======================================================
[INFO] Skenario Range / Pathloss Degradation (Wi-Fi 6)
=======================================================
[SPESIFIKASI SIMULASI]
- Standar Wi-Fi     : Wi-Fi 6 (802.11ax)
- Konfigurasi MIMO  : 8x8 Spatial Streams
- Fitur Spesial     : Single-Link (Non-MLO)
    * Link 0        : Frekuensi 5 GHz (Lebar Pita 160 MHz)
- Tx Power          : 20.0 dBm
- Rate Adaptation   : IdealWifiManager (Otomatis menyesuaikan hingga 1024-QAM)
- Propagation Model : HybridBuildingsPropagationLossModel (Redaman Tembok/Indoor)
- Jarak Uji         : 0 hingga 650 meter
=======================================================

[INFO] Waktu: 0.2s | Jarak: 1 m | RSSI: -5.71343 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 0
[INFO] Waktu: 0.4s | Jarak: 3 m | RSSI: -16.4487 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 0
[INFO] Waktu: 0.6s | Jarak: 5 m | RSSI: -21.4341 dBm | Tput: 295.931 Mbps | Delay: 39.4045 ms | Jitter: 0.0171275 ms | Drop: 13109
[INFO] Waktu: 0.8s | Jarak: 7 m | RSSI: -24.722 dBm | Tput: 680.888 Mbps | Delay: 157.082 ms | Jitter: 0.0182589 ms | Drop: 71883
[INFO] Waktu: 1s | Jarak: 9 m | RSSI: -27.1777 dBm | Tput: 681.183 Mbps | Delay: 215.972 ms | Jitter: 0.0277171 ms | Drop: 73354
[INFO] Waktu: 1.2s | Jarak: 11 m | RSSI: -29.1386 dBm | Tput: 683.891 Mbps | Delay: 216.46 ms | Jitter: 0.0280178 ms | Drop: 73334
[INFO] Waktu: 1.4s | Jarak: 13 m | RSSI: -30.771 dBm | Tput: 677.591 Mbps | Delay: 216.195 ms | Jitter: 0.0280744 ms | Drop: 73410
[INFO] Waktu: 1.6s | Jarak: 15 m | RSSI: -32.1693 dBm | Tput: 680.064 Mbps | Delay: 217.555 ms | Jitter: 0.028222 ms | Drop: 73379
[INFO] Waktu: 1.8s | Jarak: 17 m | RSSI: -33.3924 dBm | Tput: 682.89 Mbps | Delay: 216.453 ms | Jitter: 0.0280993 ms | Drop: 73296
[INFO] Waktu: 2s | Jarak: 19 m | RSSI: -34.4792 dBm | Tput: 680.417 Mbps | Delay: 216.279 ms | Jitter: 0.0280449 ms | Drop: 73376
[INFO] Waktu: 2.2s | Jarak: 21 m | RSSI: -35.4572 dBm | Tput: 681.83 Mbps | Delay: 216.258 ms | Jitter: 0.0280484 ms | Drop: 73375
[INFO] Waktu: 2.4s | Jarak: 23 m | RSSI: -36.3462 dBm | Tput: 687.483 Mbps | Delay: 215.734 ms | Jitter: 0.0278857 ms | Drop: 73233
[INFO] Waktu: 2.6s | Jarak: 25 m | RSSI: -37.1609 dBm | Tput: 682.537 Mbps | Delay: 215.135 ms | Jitter: 0.027884 ms | Drop: 73350
[INFO] Waktu: 2.8s | Jarak: 27 m | RSSI: -37.913 dBm | Tput: 681.242 Mbps | Delay: 216.207 ms | Jitter: 0.0280486 ms | Drop: 73334
[INFO] Waktu: 3s | Jarak: 29 m | RSSI: -38.6112 dBm | Tput: 685.069 Mbps | Delay: 216.072 ms | Jitter: 0.0279779 ms | Drop: 73292
[INFO] Waktu: 3.2s | Jarak: 31 m | RSSI: -39.2629 dBm | Tput: 684.598 Mbps | Delay: 214.888 ms | Jitter: 0.0278669 ms | Drop: 73292
[INFO] Waktu: 3.4s | Jarak: 33 m | RSSI: -39.8739 dBm | Tput: 685.481 Mbps | Delay: 215.138 ms | Jitter: 0.0278736 ms | Drop: 73292
