
=======================================================
[INFO] TANGGAL & WAKTU EKSEKUSI SIMULASI : 2026-06-10 00:03:55
=======================================================

=======================================================
[INFO] Skenario Range / Pathloss Degradation (Wi-Fi 7)
=======================================================
[SPESIFIKASI SIMULASI]
- Standar Wi-Fi     : Wi-Fi 7 (802.11be)
- Konfigurasi MIMO  : 8x8 Spatial Streams
- Fitur Spesial     : Multi-Link Operation (MLO) Aktif
    * Link 0        : Frekuensi 5 GHz (Lebar Pita 160 MHz)
    * Link 1        : Frekuensi 6 GHz (Lebar Pita 320 MHz)
- Tx Power          : 20.0 dBm
- Rate Adaptation   : IdealWifiManager (Otomatis menyesuaikan hingga 4096-QAM)
- Propagation Model : HybridBuildingsPropagationLossModel (Redaman Tembok/Indoor)
- Jarak Uji         : 0 hingga 300 meter
=======================================================

[INFO] Waktu: 0.2s | Jarak: 1 m | RSSI: -5.71343 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 0
[INFO] Waktu: 0.4s | Jarak: 3 m | RSSI: -16.4487 dBm | Tput: 0 Mbps | Delay: 0 ms | Jitter: 0 ms | Drop: 0
[INFO] Waktu: 0.6s | Jarak: 5 m | RSSI: -21.4341 dBm | Tput: 1626.32 Mbps | Delay: 11.4153 ms | Jitter: 0.00277829 ms | Drop: 3702
[INFO] Waktu: 0.8s | Jarak: 7 m | RSSI: -24.722 dBm | Tput: 3886.85 Mbps | Delay: 16.0871 ms | Jitter: 0.0022299 ms | Drop: 18956
[INFO] Waktu: 1s | Jarak: 9 m | RSSI: -27.1777 dBm | Tput: 3877.72 Mbps | Delay: 16.1109 ms | Jitter: 0.00229223 ms | Drop: 19001
[INFO] Waktu: 1.2s | Jarak: 11 m | RSSI: -29.1386 dBm | Tput: 3880.55 Mbps | Delay: 16.0736 ms | Jitter: 0.00222186 ms | Drop: 18941
[INFO] Waktu: 1.4s | Jarak: 13 m | RSSI: -30.771 dBm | Tput: 3887.43 Mbps | Delay: 16.1074 ms | Jitter: 0.00225262 ms | Drop: 18973
[INFO] Waktu: 1.6s | Jarak: 15 m | RSSI: -32.1693 dBm | Tput: 3890.14 Mbps | Delay: 16.0824 ms | Jitter: 0.00227242 ms | Drop: 18943
[INFO] Waktu: 1.8s | Jarak: 17 m | RSSI: -33.3924 dBm | Tput: 3887.26 Mbps | Delay: 16.0701 ms | Jitter: 0.00222969 ms | Drop: 18908
[INFO] Waktu: 2s | Jarak: 19 m | RSSI: -34.4792 dBm | Tput: 3879.84 Mbps | Delay: 16.129 ms | Jitter: 0.00254714 ms | Drop: 18957
[INFO] Waktu: 2.2s | Jarak: 21 m | RSSI: -35.4572 dBm | Tput: 3886.14 Mbps | Delay: 16.1604 ms | Jitter: 0.00251744 ms | Drop: 18969
[INFO] Waktu: 2.4s | Jarak: 23 m | RSSI: -36.3462 dBm | Tput: 3878.48 Mbps | Delay: 16.3139 ms | Jitter: 0.00377783 ms | Drop: 18939
[INFO] Waktu: 2.6s | Jarak: 25 m | RSSI: -37.1609 dBm | Tput: 3889.79 Mbps | Delay: 16.2254 ms | Jitter: 0.00259138 ms | Drop: 18981
[INFO] Waktu: 2.8s | Jarak: 27 m | RSSI: -37.913 dBm | Tput: 3884.61 Mbps | Delay: 16.2171 ms | Jitter: 0.00256321 ms | Drop: 18948
[INFO] Waktu: 3s | Jarak: 29 m | RSSI: -38.6112 dBm | Tput: 3885.43 Mbps | Delay: 16.1818 ms | Jitter: 0.00247536 ms | Drop: 18940
[INFO] Waktu: 3.2s | Jarak: 31 m | RSSI: -39.2629 dBm | Tput: 3880.25 Mbps | Delay: 16.2179 ms | Jitter: 0.0025229 ms | Drop: 18994
[INFO] Waktu: 3.4s | Jarak: 33 m | RSSI: -39.8739 dBm | Tput: 3884.14 Mbps | Delay: 16.2019 ms | Jitter: 0.00252769 ms | Drop: 18995
[INFO] Waktu: 3.6s | Jarak: 35 m | RSSI: -40.4488 dBm | Tput: 3882.43 Mbps | Delay: 16.2926 ms | Jitter: 0.00288779 ms | Drop: 19004
[INFO] Waktu: 3.8s | Jarak: 37 m | RSSI: -40.9918 dBm | Tput: 3883.14 Mbps | Delay: 16.4107 ms | Jitter: 0.00393456 ms | Drop: 18922
[INFO] Waktu: 4s | Jarak: 39 m | RSSI: -41.5062 dBm | Tput: 3868.95 Mbps | Delay: 16.3481 ms | Jitter: 0.00292077 ms | Drop: 19036
[INFO] Waktu: 4.2s | Jarak: 41 m | RSSI: -41.9949 dBm | Tput: 3897.68 Mbps | Delay: 16.4498 ms | Jitter: 0.00359882 ms | Drop: 18919
[INFO] Waktu: 4.4s | Jarak: 43 m | RSSI: -42.4603 dBm | Tput: 3867.3 Mbps | Delay: 16.3914 ms | Jitter: 0.00290942 ms | Drop: 18922
[INFO] Waktu: 4.6s | Jarak: 45 m | RSSI: -42.9046 dBm | Tput: 3903.92 Mbps | Delay: 16.4547 ms | Jitter: 0.00296091 ms | Drop: 18979
