
=======================================================
[INFO] TANGGAL & WAKTU EKSEKUSI SIMULASI : 2026-06-09 15:00:20
=======================================================

=======================================================
[INFO] Skenario Range / Pathloss Degradation (Wi-Fi 6)
=======================================================
[SPESIFIKASI SIMULASI]
- Standar Wi-Fi     : Wi-Fi 6 (802.11ax)
- Konfigurasi MIMO  : 8x8 Spatial Streams
- Fitur Spesial     : Single-Link (Non-MLO)
    * Link 0        : Frekuensi 5 GHz (Lebar Pita 160 MHz)
- Tx Power          : 20.0 dBm
- Rate Adaptation   : IdealWifiManager (Otomatis menyesuaikan hingga 1024-QAM)
- Propagation Model : HybridBuildingsPropagationLossModel (Redaman Tembok/Indoor)
- Jarak Uji         : 0 hingga 650 meter
=======================================================

[INFO] Waktu: 6.4s | Jarak: 63 m | RSSI: -46.1925 dBm | Tput: 1340.34 Mbps | Delay: 125.203 ms | Jitter: 0.0124131 ms | Drop: 62120
[INFO] Waktu: 6.6s | Jarak: 65 m | RSSI: -46.4978 dBm | Tput: 1355.18 Mbps | Delay: 124.407 ms | Jitter: 0.0122706 ms | Drop: 61910
[INFO] Waktu: 6.8s | Jarak: 67 m | RSSI: -46.794 dBm | Tput: 1362.6 Mbps | Delay: 124.201 ms | Jitter: 0.0121968 ms | Drop: 61823
[INFO] Waktu: 7s | Jarak: 69 m | RSSI: -47.0814 dBm | Tput: 1355.18 Mbps | Delay: 123.957 ms | Jitter: 0.0121793 ms | Drop: 61870
[INFO] Waktu: 7.2s | Jarak: 71 m | RSSI: -47.3606 dBm | Tput: 1362.6 Mbps | Delay: 124.205 ms | Jitter: 0.0122029 ms | Drop: 61805
[INFO] Waktu: 7.4s | Jarak: 73 m | RSSI: -47.6321 dBm | Tput: 1349.29 Mbps | Delay: 123.923 ms | Jitter: 0.00892927 ms | Drop: 62015
[INFO] Waktu: 7.6s | Jarak: 75 m | RSSI: -48.0617 dBm | Tput: 1351.18 Mbps | Delay: 124.703 ms | Jitter: 0.00557823 ms | Drop: 61952
[INFO] Waktu: 7.8s | Jarak: 77 m | RSSI: -48.5189 dBm | Tput: 1360.36 Mbps | Delay: 123.77 ms | Jitter: 0.0104544 ms | Drop: 61825
[INFO] Waktu: 8s | Jarak: 79 m | RSSI: -48.9643 dBm | Tput: 1350 Mbps | Delay: 124.594 ms | Jitter: 0.012299 ms | Drop: 62036
[INFO] Waktu: 8.2s | Jarak: 81 m | RSSI: -49.3987 dBm | Tput: 1357.66 Mbps | Delay: 124.19 ms | Jitter: 0.012218 ms | Drop: 61825
[INFO] Waktu: 8.4s | Jarak: 83 m | RSSI: -49.8224 dBm | Tput: 1367.55 Mbps | Delay: 123.502 ms | Jitter: 0.0120735 ms | Drop: 61722
[INFO] Waktu: 8.6s | Jarak: 85 m | RSSI: -50.236 dBm | Tput: 1355.18 Mbps | Delay: 124.102 ms | Jitter: 0.0122076 ms | Drop: 61930
[INFO] Waktu: 8.8s | Jarak: 87 m | RSSI: -50.64 dBm | Tput: 1369.73 Mbps | Delay: 123.164 ms | Jitter: 0.0120798 ms | Drop: 61660
[INFO] Waktu: 9s | Jarak: 89 m | RSSI: -51.0349 dBm | Tput: 1344.76 Mbps | Delay: 124.626 ms | Jitter: 0.00952108 ms | Drop: 62075
[INFO] Waktu: 9.2s | Jarak: 91 m | RSSI: -51.4209 dBm | Tput: 1363.13 Mbps | Delay: 123.705 ms | Jitter: 0.0112586 ms | Drop: 61747
[INFO] Waktu: 9.4s | Jarak: 93 m | RSSI: -51.7986 dBm | Tput: 1298.25 Mbps | Delay: 127.154 ms | Jitter: 0.0122818 ms | Drop: 62908
[INFO] Waktu: 9.6s | Jarak: 95 m | RSSI: -52.1682 dBm | Tput: 1300.19 Mbps | Delay: 128.018 ms | Jitter: 0.0127863 ms | Drop: 62854
[INFO] Waktu: 9.8s | Jarak: 97 m | RSSI: -52.5301 dBm | Tput: 1292.12 Mbps | Delay: 128.143 ms | Jitter: 0.0126735 ms | Drop: 62953
[INFO] Waktu: 10s | Jarak: 99 m | RSSI: -52.8847 dBm | Tput: 1253.79 Mbps | Delay: 131.367 ms | Jitter: 0.0131073 ms | Drop: 63658
[INFO] Waktu: 10.2s | Jarak: 101 m | RSSI: -53.2321 dBm | Tput: 1243.49 Mbps | Delay: 132.109 ms | Jitter: 0.0132503 ms | Drop: 63801
[INFO] Waktu: 10.4s | Jarak: 103 m | RSSI: -53.5727 dBm | Tput: 1236.89 Mbps | Delay: 132.997 ms | Jitter: 0.0134422 ms | Drop: 63905
[INFO] Waktu: 10.6s | Jarak: 105 m | RSSI: -53.9068 dBm | Tput: 1241.19 Mbps | Delay: 132.471 ms | Jitter: 0.0133686 ms | Drop: 68615
[INFO] Waktu: 10.8s | Jarak: 107 m | RSSI: -54.2346 dBm | Tput: 1241.66 Mbps | Delay: 132.286 ms | Jitter: 0.013339 ms | Drop: 63814
[INFO] Waktu: 11s | Jarak: 109 m | RSSI: -54.5563 dBm | Tput: 1246.37 Mbps | Delay: 132.49 ms | Jitter: 0.0133255 ms | Drop: 63758
[INFO] Waktu: 11.2s | Jarak: 111 m | RSSI: -54.8722 dBm | Tput: 1250.61 Mbps | Delay: 132.092 ms | Jitter: 0.0132768 ms | Drop: 63701
[INFO] Waktu: 11.4s | Jarak: 113 m | RSSI: -55.1824 dBm | Tput: 1244.61 Mbps | Delay: 131.749 ms | Jitter: 0.0132369 ms | Drop: 63758
[INFO] Waktu: 11.6s | Jarak: 115 m | RSSI: -55.4872 dBm | Tput: 1238.95 Mbps | Delay: 132.76 ms | Jitter: 0.0134116 ms | Drop: 63883
[INFO] Waktu: 11.8s | Jarak: 117 m | RSSI: -55.7867 dBm | Tput: 1242.6 Mbps | Delay: 132.488 ms | Jitter: 0.0133383 ms | Drop: 63842
[INFO] Waktu: 12s | Jarak: 119 m | RSSI: -56.0811 dBm | Tput: 1245.19 Mbps | Delay: 132.12 ms | Jitter: 0.0133634 ms | Drop: 63785
[INFO] Waktu: 12.2s | Jarak: 121 m | RSSI: -56.3707 dBm | Tput: 1242.13 Mbps | Delay: 132.372 ms | Jitter: 0.0133091 ms | Drop: 63814
[INFO] Waktu: 12.4s | Jarak: 123 m | RSSI: -56.6555 dBm | Tput: 1248.02 Mbps | Delay: 131.845 ms | Jitter: 0.0132689 ms | Drop: 63718
[INFO] Waktu: 12.6s | Jarak: 125 m | RSSI: -56.9357 dBm | Tput: 1243.84 Mbps | Delay: 132.512 ms | Jitter: 0.0133961 ms | Drop: 63808
[INFO] Waktu: 12.8s | Jarak: 127 m | RSSI: -57.2114 dBm | Tput: 1238.66 Mbps | Delay: 132.197 ms | Jitter: 0.0133938 ms | Drop: 63903
[INFO] Waktu: 13s | Jarak: 129 m | RSSI: -57.4828 dBm | Tput: 1240.01 Mbps | Delay: 132.375 ms | Jitter: 0.012801 ms | Drop: 63852
[INFO] Waktu: 13.2s | Jarak: 131 m | RSSI: -57.7501 dBm | Tput: 1152.46 Mbps | Delay: 138.301 ms | Jitter: 0.0142066 ms | Drop: 65355
[INFO] Waktu: 13.4s | Jarak: 133 m | RSSI: -58.0133 dBm | Tput: 1157.17 Mbps | Delay: 139.821 ms | Jitter: 0.0145502 ms | Drop: 65273
[INFO] Waktu: 13.6s | Jarak: 135 m | RSSI: -58.2726 dBm | Tput: 1145.92 Mbps | Delay: 140.358 ms | Jitter: 0.0146625 ms | Drop: 65453
[INFO] Waktu: 13.8s | Jarak: 137 m | RSSI: -58.5281 dBm | Tput: 1157.88 Mbps | Delay: 140.081 ms | Jitter: 0.0147718 ms | Drop: 65302
[INFO] Waktu: 14s | Jarak: 139 m | RSSI: -58.7798 dBm | Tput: 1068.73 Mbps | Delay: 145.755 ms | Jitter: 0.0154033 ms | Drop: 66733
[INFO] Waktu: 14.2s | Jarak: 141 m | RSSI: -59.028 dBm | Tput: 1075.8 Mbps | Delay: 147.924 ms | Jitter: 0.0157562 ms | Drop: 66658
[INFO] Waktu: 14.4s | Jarak: 143 m | RSSI: -59.2727 dBm | Tput: 1080.57 Mbps | Delay: 147.726 ms | Jitter: 0.0156516 ms | Drop: 66613
