STA_ID,MAC_Address,Direction,Area,Profil,QoS_AC,Throughput_Mbps,Delay_ms,Jitter_ms,MacDrop,HandoverCount
0,00:00:00:00:00:01,DL,Kelas A,Social Media,AC_BE,0,0,0,6249,0
0,00:00:00:00:00:01,UL,Kelas A,Social Media,AC_BE,0,0,0,593,0
1,00:00:00:00:00:04,DL,Kelas A,Video 4K Streaming,AC_VI,19.8064,5.20888,0.150212,166,0
1,00:00:00:00:00:04,UL,Kelas A,Video 4K Streaming,AC_VI,0.524201,1.23281,0.815786,1,0
2,00:00:00:00:00:07,DL,Kelas A,Gaming,AC_VO,0,0,0,1613,0
2,00:00:00:00:00:07,UL,Kelas A,Gaming,AC_VO,0,0,0,322,0
3,00:00:00:00:00:0a,DL,Kelas A,File Download,AC_BK,31.2025,8.61298,0.148921,107,0
3,00:00:00:00:00:0a,UL,Kelas A,File Download,AC_BK,1.04175,3.64551,1.89481,4,0
4,00:00:00:00:00:0d,DL,Kelas A,Web Browsing,AC_BE,5.26057,2.71968,0.289844,29,0
4,00:00:00:00:00:0d,UL,Kelas A,Web Browsing,AC_BE,0.529962,3.61617,2.12236,1,0
5,00:00:00:00:00:10,DL,Kelas A,Live Streaming,AC_VI,2.12229,1.651,0.559754,2,0
5,00:00:00:00:00:10,UL,Kelas A,Live Streaming,AC_VI,5.24395,2.15062,0.483791,14,0
6,00:00:00:00:00:13,DL,Kelas A,Social Media,AC_BE,0,0,0,5937,0
6,00:00:00:00:00:13,UL,Kelas A,Social Media,AC_BE,0,0,0,593,0
7,00:00:00:00:00:16,DL,Kelas A,Video 4K Streaming,AC_VI,21.0704,5.29619,0.143723,35,0
7,00:00:00:00:00:16,UL,Kelas A,Video 4K Streaming,AC_VI,0.531471,2.08056,1.87153,0,0
8,00:00:00:00:00:19,DL,Kelas A,Gaming,AC_VO,10.1944,2.88939,0.173489,75,0
8,00:00:00:00:00:19,UL,Kelas A,Gaming,AC_VO,2.04964,1.49594,0.666712,13,0
9,00:00:00:00:00:1c,DL,Kelas A,File Download,AC_BK,0,0,0,4840,0
9,00:00:00:00:00:1c,UL,Kelas A,File Download,AC_BK,0,0,0,161,0
10,00:00:00:00:00:1f,DL,Kelas A,Web Browsing,AC_BE,5.25216,2.26208,0.297109,31,0
10,00:00:00:00:00:1f,UL,Kelas A,Web Browsing,AC_BE,0.522272,3.30705,1.97751,3,0
11,00:00:00:00:00:22,DL,Kelas A,Live Streaming,AC_VI,0,0,0,322,0
11,00:00:00:00:00:22,UL,Kelas A,Live Streaming,AC_VI,0,0,0,785,0
12,00:00:00:00:00:28,DL,Kelas B,Social Media,AC_BE,5.95663,5.38642,0.0917381,18,0
12,00:00:00:00:00:28,UL,Kelas B,Social Media,AC_BE,0.578136,2.6115,0.478576,20,0
13,00:00:00:00:00:2b,DL,Kelas B,Video 4K Streaming,AC_VI,21.1118,5.89548,0.151083,13,0
13,00:00:00:00:00:2b,UL,Kelas B,Video 4K Streaming,AC_VI,0.52733,2.12185,1.9678,1,0
14,00:00:00:00:00:2e,DL,Kelas B,Gaming,AC_VO,10.1328,3.54717,0.196814,75,0
14,00:00:00:00:00:2e,UL,Kelas B,Gaming,AC_VO,2.04911,2.40372,0.766524,12,0
15,00:00:00:00:00:31,DL,Kelas B,File Download,AC_BK,30.9277,11.3606,0.172244,105,0
15,00:00:00:00:00:31,UL,Kelas B,File Download,AC_BK,1.03135,3.09005,1.48101,5,0
16,00:00:00:00:00:34,DL,Kelas B,Web Browsing,AC_BE,5.21128,3.34304,0.276738,38,0
16,00:00:00:00:00:34,UL,Kelas B,Web Browsing,AC_BE,0.538853,2.0347,1.26378,0,0
17,00:00:00:00:00:37,DL,Kelas B,Live Streaming,AC_VI,2.13105,1.94598,0.741265,0,0
17,00:00:00:00:00:37,UL,Kelas B,Live Streaming,AC_VI,5.28702,2.67276,0.317283,10,0
18,00:00:00:00:00:3a,DL,Kelas B,Social Media,AC_BE,5.71188,3.80175,0.0869724,264,0
18,00:00:00:00:00:3a,UL,Kelas B,Social Media,AC_BE,0.590374,2.95062,0.52088,8,0
19,00:00:00:00:00:3d,DL,Kelas B,Video 4K Streaming,AC_VI,20.7586,5.80957,0.156627,84,0
19,00:00:00:00:00:3d,UL,Kelas B,Video 4K Streaming,AC_VI,0.527246,2.73531,2.18487,1,0
20,00:00:00:00:00:40,DL,Kelas B,Gaming,AC_VO,10.1553,2.9302,0.164371,81,0
20,00:00:00:00:00:40,UL,Kelas B,Gaming,AC_VO,2.10677,2.53792,0.738691,4,0
21,00:00:00:00:00:43,DL,Kelas B,File Download,AC_BK,30.5234,11.3828,0.148449,114,0
21,00:00:00:00:00:43,UL,Kelas B,File Download,AC_BK,1.04626,2.23211,1.17804,3,0
22,00:00:00:00:00:49,DL,Koridor,Web Browsing,AC_BE,0,0,0,1124,0
22,00:00:00:00:00:49,UL,Koridor,Web Browsing,AC_BE,0,0,0,112,0
23,00:00:00:00:00:4c,DL,Koridor,Live Streaming,AC_VI,2.1331,1.81529,0.688793,1,0
23,00:00:00:00:00:4c,UL,Koridor,Live Streaming,AC_VI,5.11564,2.61747,0.315352,35,0
