STA_ID,MAC_Address,Direction,Area,Profil,QoS_AC,Throughput_Mbps,Delay_ms,Jitter_ms,MacDrop,HandoverCount
0,00:00:00:00:00:01,DL,Kelas A,Social Media,AC_BE,5.88084,13.1756,0.0748602,83,0
0,00:00:00:00:00:01,UL,Kelas A,Social Media,AC_BE,0.568629,4.73018,0.928544,28,0
1,00:00:00:00:00:02,DL,Kelas A,Video 4K Streaming,AC_VI,20.4169,2.37913,0.11552,69,0
1,00:00:00:00:00:02,UL,Kelas A,Video 4K Streaming,AC_VI,0.524372,2.08461,1.50251,1,0
2,00:00:00:00:00:03,DL,Kelas A,Gaming,AC_VO,10.2062,0.931337,0.160311,73,0
2,00:00:00:00:00:03,UL,Kelas A,Gaming,AC_VO,2.08166,1.20755,0.663319,8,0
3,00:00:00:00:00:04,DL,Kelas A,File Download,AC_BK,31.5713,51.4603,0.317257,67,0
3,00:00:00:00:00:04,UL,Kelas A,File Download,AC_BK,1.04254,33.8056,6.83238,3,0
4,00:00:00:00:00:05,DL,Kelas A,Web Browsing,AC_BE,5.37235,3.71632,0.324664,3,0
4,00:00:00:00:00:05,UL,Kelas A,Web Browsing,AC_BE,0.531788,10.3319,5.14598,0,0
5,00:00:00:00:00:06,DL,Kelas A,Live Streaming,AC_VI,2.11914,1.03642,0.551047,2,0
5,00:00:00:00:00:06,UL,Kelas A,Live Streaming,AC_VI,5.105,1.22737,0.339427,36,0
6,00:00:00:00:00:07,DL,Kelas A,Social Media,AC_BE,5.86198,5.3317,0.090683,94,0
6,00:00:00:00:00:07,UL,Kelas A,Social Media,AC_BE,0.597454,4.82248,0.683618,0,0
7,00:00:00:00:00:08,DL,Kelas A,Video 4K Streaming,AC_VI,20.5356,1.38497,0.105534,128,0
7,00:00:00:00:00:08,UL,Kelas A,Video 4K Streaming,AC_VI,0.524459,1.7325,1.5067,1,0
8,00:00:00:00:00:09,DL,Kelas A,Gaming,AC_VO,10.3356,1.13346,0.163326,54,0
8,00:00:00:00:00:09,UL,Kelas A,Gaming,AC_VO,2.11323,3.38543,1.30089,2,0
9,00:00:00:00:00:0a,DL,Kelas A,File Download,AC_BK,29.6742,67.608,0.447618,219,0
9,00:00:00:00:00:0a,UL,Kelas A,File Download,AC_BK,1.0302,52.7571,5.95071,5,0
10,00:00:00:00:00:0b,DL,Kelas A,Web Browsing,AC_BE,5.12474,3.49257,0.434745,59,0
10,00:00:00:00:00:0b,UL,Kelas A,Web Browsing,AC_BE,0.522683,18.5828,2.90558,3,0
11,00:00:00:00:00:0c,DL,Kelas A,Live Streaming,AC_VI,2.08197,1.17344,0.725231,8,0
11,00:00:00:00:00:0c,UL,Kelas A,Live Streaming,AC_VI,4.95759,3.30015,0.434997,39,0
12,00:00:00:00:00:0e,DL,Kelas B,Social Media,AC_BE,5.65649,3.99195,0.092649,309,0
12,00:00:00:00:00:0e,UL,Kelas B,Social Media,AC_BE,0.580783,6.55165,0.753201,17,0
13,00:00:00:00:00:0f,DL,Kelas B,Video 4K Streaming,AC_VI,20.3167,1.22486,0.10927,161,0
13,00:00:00:00:00:0f,UL,Kelas B,Video 4K Streaming,AC_VI,0.527239,2.74369,1.95252,1,0
14,00:00:00:00:00:10,DL,Kelas B,Gaming,AC_VO,4.92517,5.1019,1.5128,870,0
14,00:00:00:00:00:10,UL,Kelas B,Gaming,AC_VO,2.04984,1.50855,0.761412,13,0
15,00:00:00:00:00:11,DL,Kelas B,File Download,AC_BK,30.9858,61.2185,0.338745,96,0
15,00:00:00:00:00:11,UL,Kelas B,File Download,AC_BK,1.03927,50.3704,12.4063,4,0
16,00:00:00:00:00:12,DL,Kelas B,Web Browsing,AC_BE,5.33146,2.98726,0.454555,13,0
16,00:00:00:00:00:12,UL,Kelas B,Web Browsing,AC_BE,0.522583,6.24175,4.30873,3,0
17,00:00:00:00:00:13,DL,Kelas B,Live Streaming,AC_VI,2.04942,1.04976,0.555037,13,0
17,00:00:00:00:00:13,UL,Kelas B,Live Streaming,AC_VI,5.08594,1.90505,0.424999,39,0
18,00:00:00:00:00:14,DL,Kelas B,Social Media,AC_BE,5.88834,17.9414,0.138265,51,0
18,00:00:00:00:00:14,UL,Kelas B,Social Media,AC_BE,0.571321,6.33845,0.709167,25,0
19,00:00:00:00:00:15,DL,Kelas B,Video 4K Streaming,AC_VI,20.7658,1.90733,0.123335,93,0
19,00:00:00:00:00:15,UL,Kelas B,Video 4K Streaming,AC_VI,0.527118,2.57456,1.71978,1,0
20,00:00:00:00:00:16,DL,Kelas B,Gaming,AC_VO,10.3827,1.03024,0.159303,46,0
20,00:00:00:00:00:16,UL,Kelas B,Gaming,AC_VO,2.08517,1.36775,0.654897,8,0
21,00:00:00:00:00:17,DL,Kelas B,File Download,AC_BK,0,0,0,4713,0
21,00:00:00:00:00:17,UL,Kelas B,File Download,AC_BK,0,0,0,152,0
22,00:00:00:00:00:19,DL,Koridor,Web Browsing,AC_BE,0,0,0,1124,0
22,00:00:00:00:00:19,UL,Koridor,Web Browsing,AC_BE,0,0,0,112,0
23,00:00:00:00:00:1a,DL,Koridor,Live Streaming,AC_VI,2.08397,1.76916,0.792854,8,0
23,00:00:00:00:00:1a,UL,Koridor,Live Streaming,AC_VI,5.08206,1.97027,0.434168,39,0
